Question	Answer	Source	Metadata
How much does a Surface Go cost?	There are two configurations of **Surface Go for consumers (Windows 10 Home in S-Mode)**:\n\n\n*   **$399** for 4 GB of RAM and 64 GB eMMC\n*   **$549** for 8 GB of RAM and 128 GB SSD\n\nAnd there are two configurations of **Surface Go for business (Windows 10 Pro)**:\n\n\n*   **$449** for 4 GB of RAM and 64 GB eMMC\n*   **$599**for 8 GB of RAM and 128 GB SSD	https://surfacetip.com/surface-go-faq/	
What are the dimensions of the Surface Go?	Microsoft Surface Go has dimensions of **9.6” x 6.9” x 0.33” (245 mm x 175 mm x 8.3 mm).**	https://surfacetip.com/surface-go-faq/	
How much does the Surface Go weight?	Microsoft Surface Go is weight at **1.15 lbs (522 g) without a keyboard** or **1.7 lbs (771 g) with a keyboard attached.**	https://surfacetip.com/surface-go-faq/	
What ports are on the Surface Go?	Here are all available ports on the Surface Go:\n\n\n1.  1 x **USB type-C** (version 3.1 Gen 1 with USB Power Delivery revision 3.0)\n2.  1 x **3.5mm headphone jack**\n3.  1 x **Surface Connect** (Compatible with Surface Dock)\n4.  1 x **MicroSDXC card reader** (up to 1TB)\n5.  1 x **Surface Go Type Cover port**.	https://surfacetip.com/surface-go-faq/	
Does Surface Go have a camera?	Yes, there are two cameras on Surface Go:\n\n1.  5.0MP front-facing camera with 1080p HD video.\n2.  8.0MP rear-facing autofocus camera with 1080p HD video.	https://surfacetip.com/surface-go-faq/	
What processor is in the Surface Go?	Microsoft Surface Go uses the dual-core 7th Gen **Intel® Pentium® Gold Processor 4415Y**.\n\n\n*   Graphics: Intel® HD Graphics 615.\n*   Base Frequency: 1.60 GHz\n*   L3 cache: 2 MB SmartCache\n*   2 cores, 4 threads\n*   Geekbench Score:\n\n    *   Single-Core: 1,836\n    *   Multi-Core: 3,823	https://surfacetip.com/surface-go-faq/	
Does Surface Go include pen?	No, Surface Go **doesn’t include a Surface Pen** out of the box. You will need to purchase separately or use old Surface Pens from previous models. The latest Surface Pen costs about $100 which supports *4,096 levels of pressure and tilts support*.	https://surfacetip.com/surface-go-faq/	
Does Surface Go come with a keyboard?	No, you will need to purchase the keyboard (Surface Go Type Cover) separately. It costs about $100 for the black type cover and $130 for burgundy, platinum, and cobalt blue.	https://surfacetip.com/surface-go-faq/	
When was Surface Go release?	Microsoft Surface Go was:\n\n\n*   Announced and preordered on July 10, 2018.\n*   Available on August 2, 2018.	https://surfacetip.com/surface-go-faq/	
Can you upgrade RAM on Surface Go?	No, you can’t upgrade your Surface Go RAM as it was soldered directly onto the motherboard.	https://surfacetip.com/surface-go-faq/	
What size is Surface Go’s display?	Surface Go has a **10-inch PixelSense™ Display**.	https://surfacetip.com/surface-go-faq/	
What is the resolution of Surface Go?	Surface Go has a resolution of **1800 x 1200** and a pixel density of **216ppi** (pixels per Inch). It’s as crisp and smooth as the PixelSense display you’ll find on the Surface Pro models.For more information check:[![Microsoft Surface display size and resolution – a complete list](data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201%201'%3E%3C/svg%3E)![Microsoft Surface display size and resolution – a complete list](https://www.surfacetip.com/wp-content/uploads/2018/07/surface-display-comparison-285x160.jpg)\n\nRecommended Read\n\n### Microsoft Surface display size and resolution – a complete list\n\n](https://surfacetip.com/surface-display-comparison/)	https://surfacetip.com/surface-go-faq/	
Does Surface Go need a screen protector?	Even Microsoft Surface Go’s screen is made of **Corning Gorilla Glass 3**, it still prone to scratches. You’d better pick one up for your Surface Go to protect it from scratches.	https://surfacetip.com/surface-go-faq/	
Does a screen protector reduce the responsiveness of Surface Go?	Yes it does, it much or less noticeable depending on what type and thickness of screen protector you put on it. For the best option, you should look for a slim tempered glass screen protector, as it’s smooth to the touch and reduce responsiveness issue. For more information check:[![The Best Surface Go Screen Protectors for 2019](data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201%201'%3E%3C/svg%3E)![The Best Surface Go Screen Protectors for 2019](https://www.surfacetip.com/wp-content/uploads/2018/11/best-surface-go-screen-protectors-285x160.jpg)\n\nRecommended Read\n\n### The Best Surface Go Screen Protectors for 2019\n\n](https://surfacetip.com/best-surface-go-screen-protectors/)	https://surfacetip.com/surface-go-faq/	
How long does the Surface Go last?	Microsoft Surface Go last **9-hours of battery life **for local video playback tested by Microsoft.	https://surfacetip.com/surface-go-faq/	
